filter,rho,mse
DiagSF,128.0,0.25530274464797503
DiagSF,256.0,NaN
DiagSF,8.0,0.3880713268672291
DiagSF,32.0,0.21427926915181497
DiagSF,1.0,0.7322713773997597
BlockSF,16.0,0.3316189174728717
BlockSF,4.0,0.4847473878199669
BlockSF,64.0,0.1677995765612794
BlockSF,8.0,0.38717863857064283
BlockSF,128.0,0.17381988430172557
BlockSF,256.0,NaN
BlockSF,32.0,0.237639260367211
BlockSF,1.0,0.7282787048750445
DiagSF,1.0,0.7301873339516078
DiagSF,32.0,0.22194482722605416
DiagSF,16.0,0.3000128696494508
DiagSF,128.0,0.19223478672189526
DiagSF,4.0,0.5148433070547733
DiagSF,8.0,0.40654261871584835
DiagSF,64.0,0.22657092786189623
DiagSF,256.0,8.692384347904563e118
BlockSF,32.0,0.21749999992882663
BlockSF,64.0,0.16706890259526444
BlockSF,1.0,0.7059991320292409
BlockSF,8.0,0.40951788634537833
BlockSF,4.0,0.484500650299917
BlockSF,16.0,0.29881836902847847
BlockSF,256.0,6.932622108754498e70
BlockSF,128.0,0.1974288762934562
DiagSF,128.0,0.1625285724906463
DiagSF,4.0,0.5017865913616172
DiagSF,8.0,0.36811002765194145
DiagSF,16.0,0.29482375317591214
DiagSF,64.0,0.21977775436235195
DiagSF,32.0,0.24255859914567124
DiagSF,256.0,NaN
DiagSF,1.0,0.7420237904158024
BlockSF,4.0,0.49234239172268424
BlockSF,128.0,0.19079729896995087
BlockSF,64.0,0.24723277259320323
BlockSF,8.0,0.38786841846358
BlockSF,32.0,0.252868482717268
BlockSF,16.0,0.3109111431063723
BlockSF,256.0,NaN
BlockSF,1.0,0.7359530359903117
DiagSF,64.0,0.1845135967808208
DiagSF,128.0,0.31614193530213314
DiagSF,256.0,NaN
DiagSF,16.0,0.29716901420187963
DiagSF,8.0,0.393472650042217
DiagSF,32.0,0.24529708039779588
DiagSF,1.0,0.736309170061506
DiagSF,4.0,0.5120776392146084
BlockSF,64.0,0.1696139423106206
BlockSF,128.0,0.11071562019094203
BlockSF,256.0,NaN
BlockSF,16.0,0.27893997943614995
BlockSF,4.0,0.49689013317271774
BlockSF,32.0,0.2199529091018069
BlockSF,1.0,0.7225602600602589
BlockSF,8.0,0.38080736849794233
DiagSF,16.0,0.30910387678497386
DiagSF,4.0,0.4972773125861163
DiagSF,8.0,0.3848255425550809
DiagSF,64.0,0.2086303229076378
DiagSF,256.0,3.611510478152638e43
DiagSF,128.0,0.19416081743765384
DiagSF,1.0,0.7464565820789014
DiagSF,32.0,0.2595364469587766
BlockSF,16.0,0.29628395922251594
BlockSF,256.0,NaN
BlockSF,4.0,0.492369435674888
BlockSF,8.0,0.3972259940183641
BlockSF,1.0,0.7370977870553621
BlockSF,64.0,0.2036943136726766
BlockSF,128.0,0.17488072367772134
BlockSF,32.0,0.21399342004888597
DiagSF,1.0,0.7450469962922487
DiagSF,16.0,0.30356567631910936
DiagSF,4.0,0.5133867629850523
DiagSF,8.0,0.38647958488609835
DiagSF,128.0,0.2924719083798947
DiagSF,64.0,0.20690664243369533
DiagSF,256.0,Inf
DiagSF,32.0,0.22695353716517702
BlockSF,1.0,0.7366288667865654
BlockSF,4.0,0.5022938035882919
BlockSF,16.0,0.2927474856392791
BlockSF,256.0,NaN
BlockSF,128.0,0.17433964790039685
BlockSF,64.0,0.17035153923814897
BlockSF,8.0,0.399269780762588
BlockSF,32.0,0.21198515167824572
FullSF,1.0,0.7421933909225742
FullSF,4.0,0.496269605934842
FullSF,16.0,0.31661088796907944
FullSF,64.0,0.1831899577910927
FullSF,32.0,0.2286370106284185
FullSF,8.0,0.3682896052710511
FullSF,256.0,NaN
FullSF,128.0,0.18698828156110178
DiagSF,4.0,0.5109336638666269
DiagSF,1.0,0.7335865950827475
DiagSF,16.0,0.31170161740567304
DiagSF,128.0,0.22784387589293367
DiagSF,64.0,0.20063450762232318
DiagSF,8.0,0.384235070527653
DiagSF,32.0,0.21022404057090774
DiagSF,256.0,NaN
BlockSF,1.0,0.7254599093822026
BlockSF,4.0,0.49253653330852776
BlockSF,128.0,0.21207006380178212
BlockSF,8.0,0.37502844614759573
BlockSF,16.0,0.2727000026403859
BlockSF,32.0,0.19433286533427477
BlockSF,64.0,0.21301832739298934
BlockSF,256.0,NaN
FullSF,128.0,0.1365190509290693
FullSF,16.0,0.3190270617525213
FullSF,4.0,0.49045599120561884
FullSF,1.0,0.7369522085523723
FullSF,32.0,0.22389681970908312
FullSF,64.0,0.16573299683114076
FullSF,256.0,NaN
FullSF,8.0,0.38017716595888723
DiagSF,2.0,0.6263493515503972
BlockSF,2.0,0.6377465332564803
DiagSF,4.0,0.4931706086549854
DiagSF,8.0,0.39824527022978556
DiagSF,32.0,0.25811520037226654
DiagSF,1.0,0.7478476280505223
DiagSF,64.0,0.24757910676505324
DiagSF,16.0,0.29294765473712864
DiagSF,128.0,0.26885287525767276
DiagSF,256.0,1.5620056521099625e44
BlockSF,1.0,0.7254105995356619
BlockSF,64.0,0.18025324756999325
BlockSF,4.0,0.4835314052806536
BlockSF,32.0,0.2511972819314118
BlockSF,8.0,0.37165108975587685
BlockSF,16.0,0.3094344311907359
BlockSF,128.0,0.14801651635376883
