filter,eta,sparse_input,beta,dim,mse
GradientRule,0.0625,true,0.1,256,1.02931314260814
GradientRule,0.0625,false,0.008838834764831844,1024,0.9880188204828356
GradientRule,0.0625,true,0.1,512,0.9979715077555209
GradientRule,0.0625,false,0.00625,2048,0.9976719141540772
GradientRule,0.0625,true,0.1,1024,1.0096590059274784
GradientRule,0.0625,true,0.1,2048,1.0036086761313325
GradientRule,0.03125,false,0.1,8,0.558940786889715
GradientRule,0.03125,true,0.1,8,0.48238988952632317
GradientRule,0.03125,false,0.05,32,0.8447205378086006
GradientRule,0.03125,false,0.07071067811865475,16,0.6936204211771827
GradientRule,0.03125,true,0.1,32,1.0265056168365507
GradientRule,0.03125,true,0.1,16,0.8783500279013777
GradientRule,0.03125,false,0.035355339059327376,64,0.9831429828665577
GradientRule,0.03125,true,0.1,64,1.0363893534812563
GradientRule,0.03125,false,0.025,128,0.9453544802217201
GradientRule,0.03125,true,0.1,128,1.077541130373153
GradientRule,0.03125,false,0.017677669529663688,256,0.9726131306891677
GradientRule,0.03125,false,0.0125,512,0.9915098199801946
GradientRule,0.03125,true,0.1,256,1.0157375299777485
GradientRule,0.03125,false,0.008838834764831844,1024,0.9793907781881745
GradientRule,0.03125,true,0.1,512,0.987884543528168
GradientRule,0.03125,false,0.00625,2048,0.995511991279111
GradientRule,0.03125,true,0.1,1024,0.9933578264038525
GradientRule,0.03125,true,0.1,2048,1.0097915928278483
GradientRule,0.015625,false,0.1,8,0.6298190493920782
GradientRule,0.015625,true,0.1,8,0.7476566543210996
GradientRule,0.015625,false,0.05,32,0.9925057942692133
GradientRule,0.015625,false,0.07071067811865475,16,0.8054506446254962
GradientRule,0.015625,true,0.1,32,0.9618087556335121
GradientRule,0.015625,true,0.1,16,1.0022494073844035
GradientRule,0.015625,false,0.035355339059327376,64,0.9559339687993879
GradientRule,0.015625,true,0.1,64,0.9948596078046151
GradientRule,0.015625,false,0.025,128,0.9885739984970522
GradientRule,0.015625,true,0.1,128,1.0366872755242378
GradientRule,0.015625,false,0.017677669529663688,256,0.9879213246424221
GradientRule,0.015625,false,0.0125,512,0.9841999318105262
GradientRule,0.015625,true,0.1,256,1.0064953305628126
GradientRule,0.015625,false,0.008838834764831844,1024,0.9937912381658895
GradientRule,0.015625,true,0.1,512,0.9775162859121714
GradientRule,0.015625,false,0.00625,2048,0.9937058838864176
GradientRule,0.015625,true,0.1,1024,0.9925778773876788
GradientRule,0.015625,true,0.1,2048,1.0016292981114598
GradientRule,0.0078125,false,0.1,8,0.8919570561613999
GradientRule,0.0078125,true,0.1,8,0.8046491533947586
GradientRule,0.0078125,false,0.05,32,0.9108082914004327
GradientRule,0.0078125,false,0.07071067811865475,16,0.9170746153634408
GradientRule,0.0078125,true,0.1,32,0.9980993599370811
GradientRule,0.0078125,true,0.1,16,0.9078473612230235
GradientRule,0.0078125,false,0.035355339059327376,64,0.9671940174542564
GradientRule,0.0078125,true,0.1,64,0.9764518822447378
GradientRule,0.0078125,false,0.025,128,1.003517309708902
GradientRule,0.0078125,true,0.1,128,0.9841062518456217
GradientRule,0.0078125,false,0.017677669529663688,256,0.9635996712295699
GradientRule,0.0078125,false,0.0125,512,0.9931119254123038
GradientRule,0.0078125,true,0.1,256,0.9830088100932447
GradientRule,0.0078125,false,0.008838834764831844,1024,1.0003832265736525
GradientRule,0.0078125,true,0.1,512,1.0087741169080064
GradientRule,0.0078125,false,0.00625,2048,0.9912923736765142
GradientRule,0.0078125,true,0.1,1024,1.0040138063458788
GradientRule,0.0078125,true,0.1,2048,1.0034634274566894
GradientRule,0.00390625,false,0.1,8,0.8048687540438928
GradientRule,0.00390625,true,0.1,8,0.9508222058861467
GradientRule,0.00390625,false,0.05,32,1.0382486199446663
GradientRule,0.00390625,false,0.07071067811865475,16,0.922332909487044
GradientRule,0.00390625,true,0.1,32,0.9876920090326193
GradientRule,0.00390625,true,0.1,16,0.986867474445137
GradientRule,0.00390625,false,0.035355339059327376,64,0.9379849623369598
GradientRule,0.00390625,true,0.1,64,0.9598608687110612
GradientRule,0.00390625,false,0.025,128,0.9938260882712282
GradientRule,0.00390625,true,0.1,128,1.00475400354033
GradientRule,0.00390625,false,0.017677669529663688,256,0.9721650929279902
GradientRule,0.00390625,false,0.0125,512,1.000449302611539
GradientRule,0.00390625,true,0.1,256,0.9982658654602621
GradientRule,0.00390625,false,0.008838834764831844,1024,1.000219879118766
GradientRule,0.00390625,true,0.1,512,1.0166734102956427
GradientRule,0.00390625,false,0.00625,2048,1.0038392837593317
GradientRule,0.00390625,true,0.1,1024,1.0046087175566691
GradientRule,0.00390625,true,0.1,2048,1.006122116083936
GradientRule,0.001953125,false,0.1,8,1.004725587134365
GradientRule,0.001953125,true,0.1,8,0.9156481249779586
GradientRule,0.001953125,false,0.05,32,1.0903840042652144
GradientRule,0.001953125,false,0.07071067811865475,16,1.0109766699198361
GradientRule,0.001953125,true,0.1,32,0.9938561752701298
GradientRule,0.001953125,true,0.1,16,0.9240500960923561
GradientRule,0.001953125,false,0.035355339059327376,64,0.9699299368224235
GradientRule,0.001953125,true,0.1,64,1.0186427334703658
GradientRule,0.001953125,false,0.025,128,0.9715713410777109
GradientRule,0.001953125,true,0.1,128,0.9875570776612401
GradientRule,0.001953125,false,0.017677669529663688,256,0.9979504247445105
GradientRule,0.001953125,false,0.0125,512,1.0110199169347374
GradientRule,0.001953125,true,0.1,256,0.9954250116586892
GradientRule,0.001953125,false,0.008838834764831844,1024,0.9861605674407908
GradientRule,0.001953125,true,0.1,512,0.9810614780781748
GradientRule,0.001953125,false,0.00625,2048,1.0023878254230578
GradientRule,0.001953125,true,0.1,1024,1.000582825681009
GradientRule,0.001953125,true,0.1,2048,0.9991092393080969
GradientRule,1.0,false,0.1,8,0.5634025859507946
GradientRule,1.0,true,0.1,8,0.5398119972279986
GradientRule,1.0,false,0.05,32,0.6487651390662421
GradientRule,1.0,false,0.07071067811865475,16,0.6050988805158775
GradientRule,1.0,true,0.1,32,1.4523865817567965
GradientRule,1.0,true,0.1,16,0.7684458981193549
GradientRule,1.0,false,0.035355339059327376,64,0.8102524370793386
GradientRule,1.0,true,0.1,64,2.0186312193937397
GradientRule,1.0,false,0.025,128,0.9081994559106032
GradientRule,1.0,true,0.1,128,2.4677503340686875
GradientRule,1.0,false,0.017677669529663688,256,1.1390538872116558
GradientRule,1.0,false,0.0125,512,1.23159775018329
GradientRule,1.0,true,0.1,256,2.2044456516574664
GradientRule,1.0,false,0.008838834764831844,1024,1.3677419593271252
GradientRule,1.0,true,0.1,512,1.8687003597497738
GradientRule,1.0,false,0.00625,2048,1.371875734110146
GradientRule,1.0,true,0.1,1024,1.3261463547349992
GradientRule,1.0,true,0.1,2048,1.0677200532090736
GradientRule,0.5,false,0.1,8,0.3382663010013887
GradientRule,0.5,true,0.1,8,0.33202886126674325
GradientRule,0.5,false,0.05,32,0.527575374608255
GradientRule,0.5,false,0.07071067811865475,16,0.42025121039311286
GradientRule,0.5,true,0.1,32,1.26630737888053
GradientRule,0.5,true,0.1,16,0.6475860448969533
GradientRule,0.5,false,0.035355339059327376,64,0.7079159330839596
GradientRule,0.5,true,0.1,64,1.6843869047879945
GradientRule,0.5,false,0.025,128,0.8205021810278207
GradientRule,0.5,true,0.1,128,1.9171285641909992
GradientRule,0.5,false,0.017677669529663688,256,1.0256935138459413
GradientRule,0.5,false,0.0125,512,1.1077622166195673
GradientRule,0.5,true,0.1,256,1.60747583778293
GradientRule,0.5,false,0.008838834764831844,1024,1.1757787418222145
GradientRule,0.5,true,0.1,512,1.2563372157470196
GradientRule,0.5,false,0.00625,2048,1.1450940691357485
GradientRule,0.5,true,0.1,1024,1.1085883948087816
GradientRule,0.5,true,0.1,2048,1.0076028238255168
GradientRule,0.25,false,0.1,8,0.2512840804530506
GradientRule,0.25,true,0.1,8,0.2826154653062781
GradientRule,0.25,false,0.05,32,0.5269701500659493
GradientRule,0.25,false,0.07071067811865475,16,0.38404486161657503
GradientRule,0.25,true,0.1,32,1.1959886945134892
GradientRule,0.25,true,0.1,16,0.5728262337226677
GradientRule,0.25,false,0.035355339059327376,64,0.7054201345615192
GradientRule,0.25,true,0.1,64,1.4895956444635956
GradientRule,0.25,false,0.025,128,0.8618182322231349
GradientRule,0.25,true,0.1,128,1.3741561524236725
GradientRule,0.25,false,0.017677669529663688,256,1.0249074942239433
GradientRule,0.25,false,0.0125,512,1.0378906538729786
GradientRule,0.25,true,0.1,256,1.273399788012555
GradientRule,0.25,false,0.008838834764831844,1024,1.0217504537087045
GradientRule,0.25,true,0.1,512,1.0910732997584116
GradientRule,0.25,false,0.00625,2048,1.03916635175192
GradientRule,0.25,true,0.1,1024,0.9992334007450043
GradientRule,0.25,true,0.1,2048,0.99727596413315
GradientRule,0.125,false,0.1,8,0.2875874318527444
GradientRule,0.125,true,0.1,8,0.31484794731150345
GradientRule,0.125,false,0.05,32,0.6218848949618999
GradientRule,0.125,false,0.07071067811865475,16,0.46157501476027335
GradientRule,0.125,true,0.1,32,1.043116939681047
GradientRule,0.125,true,0.1,16,0.6582412664370866
GradientRule,0.125,false,0.035355339059327376,64,0.8199115629287297
GradientRule,0.125,true,0.1,64,1.1446945523425496
GradientRule,0.125,false,0.025,128,0.8965854600465597
GradientRule,0.125,true,0.1,128,1.2901125912005211
GradientRule,0.125,false,0.017677669529663688,256,0.9951300244458382
GradientRule,0.125,false,0.0125,512,1.0026963362923165
GradientRule,0.125,true,0.1,256,1.125287821470364
GradientRule,0.125,false,0.008838834764831844,1024,1.0005141576895127
GradientRule,0.125,true,0.1,512,1.00474904440444
GradientRule,0.125,false,0.00625,2048,1.0044323548676042
GradientRule,0.125,true,0.1,1024,1.0042617854221318
GradientRule,0.125,true,0.1,2048,1.0011873131494076
GradientRule,0.0625,false,0.1,8,0.4262447698503365
GradientRule,0.0625,true,0.1,8,0.46409223454753373
GradientRule,0.0625,false,0.05,32,0.7282027121197088
GradientRule,0.0625,false,0.07071067811865475,16,0.5975684479625262
GradientRule,0.0625,true,0.1,32,1.0061891508887317
GradientRule,0.0625,true,0.1,16,0.8312290256512732
GradientRule,0.0625,false,0.035355339059327376,64,0.8581935285908381
GradientRule,0.0625,true,0.1,64,1.162146325911419
GradientRule,0.0625,false,0.025,128,0.929968962718225
GradientRule,0.0625,true,0.1,128,1.0574194401033565
GradientRule,0.0625,false,0.017677669529663688,256,0.9647352208884711
GradientRule,0.0625,false,0.0125,512,0.9828636607299875
GradientRule,0.0625,true,0.1,256,1.0567399006839469
GradientRule,0.0625,false,0.008838834764831844,1024,0.9991785438899312
GradientRule,0.0625,true,0.1,512,1.0050794807970023
GradientRule,0.0625,false,0.00625,2048,0.9961635967553008
GradientRule,0.0625,true,0.1,1024,0.9885632007183688
GradientRule,0.0625,true,0.1,2048,1.0016878043880355
GradientRule,0.03125,false,0.1,8,0.6260095696348627
GradientRule,0.03125,true,0.1,8,0.4833392867624605
GradientRule,0.03125,false,0.05,32,0.8301119032259503
GradientRule,0.03125,false,0.07071067811865475,16,0.7363662018657858
GradientRule,0.03125,true,0.1,32,1.1361036839260412
GradientRule,0.03125,true,0.1,16,0.7611371886838566
GradientRule,0.03125,false,0.035355339059327376,64,0.9531356063931384
GradientRule,0.03125,true,0.1,64,1.069439681566201
GradientRule,0.03125,false,0.025,128,0.955870248293108
GradientRule,0.03125,true,0.1,128,1.0405810845218773
GradientRule,0.03125,false,0.017677669529663688,256,0.9865281543145381
GradientRule,0.03125,false,0.0125,512,0.9836495284446377
GradientRule,0.03125,true,0.1,256,1.0128773368728246
GradientRule,0.03125,false,0.008838834764831844,1024,1.000593595160793
GradientRule,0.03125,true,0.1,512,0.976304235859239
GradientRule,0.03125,false,0.00625,2048,1.0045969468652416
GradientRule,0.03125,true,0.1,1024,0.998234769279867
GradientRule,0.03125,true,0.1,2048,0.9955370520398186
GradientRule,0.015625,false,0.1,8,0.6860063850502176
GradientRule,0.015625,true,0.1,8,0.7029463307525118
GradientRule,0.015625,false,0.05,32,0.8297151316503338
GradientRule,0.015625,false,0.07071067811865475,16,0.7661905572300199
GradientRule,0.015625,true,0.1,32,0.9577934564348997
GradientRule,0.015625,true,0.1,16,0.8854463208648139
GradientRule,0.015625,false,0.035355339059327376,64,0.9330751457741934
GradientRule,0.015625,true,0.1,64,1.0436582555581069
GradientRule,0.015625,false,0.025,128,1.0075169208032928
GradientRule,0.015625,true,0.1,128,1.0556528912197132
GradientRule,0.015625,false,0.017677669529663688,256,0.9602304705419421
GradientRule,0.015625,false,0.0125,512,0.9985808645060187
GradientRule,0.015625,true,0.1,256,1.004856770815182
GradientRule,0.015625,false,0.008838834764831844,1024,0.991206588788199
GradientRule,0.015625,true,0.1,512,0.9879050941804259
GradientRule,0.015625,false,0.00625,2048,0.9942495692120842
GradientRule,0.015625,true,0.1,1024,1.014225072566696
GradientRule,0.015625,true,0.1,2048,0.9960622702091102
GradientRule,0.0078125,false,0.1,8,0.7180081605122061
GradientRule,0.0078125,true,0.1,8,0.6662537701017394
GradientRule,0.0078125,false,0.05,32,0.8530039457451698
GradientRule,0.0078125,false,0.07071067811865475,16,0.8619393543897456
GradientRule,0.0078125,true,0.1,32,0.9646870690203602
GradientRule,0.0078125,true,0.1,16,0.8268109925690466
GradientRule,0.0078125,false,0.035355339059327376,64,0.9618154505262334
GradientRule,0.0078125,true,0.1,64,0.9704572357985348
GradientRule,0.0078125,false,0.025,128,0.9523454457451757
GradientRule,0.0078125,true,0.1,128,0.9438098690769602
