filter,sparse_input,beta,dim,mse
BlockSF,false,0.017677669529663688,256,0.8004541631607464
BlockSF,false,0.0125,512,0.8691367355350771
BlockSF,true,0.1,256,0.8903525536813818
BlockSF,false,0.008838834764831844,1024,0.927497227598594
BlockSF,true,0.1,512,0.924244862385372
BlockSF,false,0.00625,2048,0.957707921176696
BlockSF,true,0.1,1024,0.9681767873482049
BlockSF,true,0.1,2048,0.9916332288195064
FullSF,false,0.1,8,0.22992758808347183
FullSF,true,0.1,8,0.23403769463561552
FullSF,false,0.07071067811865475,16,0.33611440427904354
FullSF,false,0.05,32,0.43231130045391936
FullSF,true,0.1,16,0.3892872405644311
FullSF,true,0.1,32,0.5221636174337638
FullSF,false,0.035355339059327376,64,0.5596534974929436
FullSF,true,0.1,64,0.6884604588321959
FullSF,false,0.025,128,0.6670320481063626
FullSF,true,0.1,128,0.8160596586990067
FullSF,false,0.017677669529663688,256,0.7698628780699371
FullSF,true,0.1,256,0.8779573472305443
FullSF,false,0.0125,512,0.8503860595324634
FullSF,true,0.1,512,0.9165032504337843
DiagSF,false,0.1,8,0.29407271611127
DiagSF,true,0.1,8,0.2613477515030669
DiagSF,false,0.05,32,0.4584358078499852
DiagSF,false,0.07071067811865475,16,0.38487368787907267
DiagSF,true,0.1,32,0.5522529991181286
DiagSF,false,0.035355339059327376,64,0.5950042780061522
DiagSF,true,0.1,16,0.3712159978140331
DiagSF,true,0.1,64,0.7606486883611893
DiagSF,false,0.025,128,0.6902691001890315
DiagSF,true,0.1,128,0.9015015713797868
DiagSF,false,0.017677669529663688,256,0.8057395500399838
DiagSF,false,0.0125,512,0.898647263493952
DiagSF,true,0.1,256,0.9081626724876265
DiagSF,false,0.008838834764831844,1024,0.9533432335331514
DiagSF,true,0.1,512,0.8952189045598503
DiagSF,false,0.00625,2048,0.9519420210569558
DiagSF,true,0.1,1024,0.9621774717909934
DiagSF,true,0.1,2048,0.9902148486597467
BlockSF,false,0.1,8,0.22007540570045575
BlockSF,true,0.1,8,0.2550367197341395
BlockSF,false,0.05,32,0.4745535473074833
BlockSF,false,0.07071067811865475,16,0.3505285562396244
BlockSF,true,0.1,16,0.3709890472720462
BlockSF,true,0.1,32,0.5471221648795691
